id_student;Surname;Name;Middle_name;Birthday;Class;id_place;Status
1;Степанов;Федор;Игоревич;39491;7;11;Ударник
2;Иванова;Дарья;Сергеевна;39582;7;12;Отличник
3;Колтунов;Петр;Николаевич;39662;7;13;Отличник
4;Сидоров;Иван;Петрович;39603;7;14;Троечник
5;Сидорова;Наталья;Алексеевна;39675;7;17;Отличник
6;Иванов;Степан;Николаевич;39681;7;18;Отличник
7;Кружкина;Елена;Анатольевна;39613;7;19;Ударник
8;Васечкин;Илья;Сидорович;39495;7;20;Двоечник
9;Петрова;Светлана;Ильинична;39721;7;23;Троечник
10;Ильичев;Николай;Арсентьевич;39475;7;24;Ударник
1;2;3;4;5;6;7;8
